sentence_id	sentence	locale	reason
f5af30c82e3b56e46a1edf8be4bc4add8d6e921b30ec1f925cddb6780da61761	She is also the sister of Ugandan president Yoweri Museveni.	en	grammar-or-spelling
f595a48161a68c2adb04ebaac39043f7c32fc4be89e80bbbce34391a11afaba4	I myself am Allah!	en	offensive-language
f5dcad3b6121fc9892f7f73cc77fe186b521679bb72c6b548f0603db00e04737	It will not open to public due to environmental protection issues.	en	grammar-or-spelling
f5ac54bf5cfe6cd3def17cabe24a3bb4451dbb60d308c21801bbd0ffb35a1fba	Bush used to sign the Act and one of the first ultralight wheelchairs.	en	offensive-language
f5ac54bf5cfe6cd3def17cabe24a3bb4451dbb60d308c21801bbd0ffb35a1fba	Bush used to sign the Act and one of the first ultralight wheelchairs.	en	grammar-or-spelling
f5ac54bf5cfe6cd3def17cabe24a3bb4451dbb60d308c21801bbd0ffb35a1fba	Bush used to sign the Act and one of the first ultralight wheelchairs.	en	different-language
f5ac54bf5cfe6cd3def17cabe24a3bb4451dbb60d308c21801bbd0ffb35a1fba	Bush used to sign the Act and one of the first ultralight wheelchairs.	en	difficult-pronounce
f60a0dadf16da558ebdf3ec36ae18e88fb70d5ccae5433885360136ec08b06ff	Inventor and Builder Oliver Roland Ingersoll.	en	grammar-or-spelling
093456885410a3e0449987600a6bdb41ce54486f2423de935def9771d3677b15	I would like to tell you about my friend named Alex.	en	different-language
f669c417b5df4efaae491687537d1009f9e078d0c7c69b204fd2082852191c72	The pair reunite and work together to seemingly kill Jason.	en	different-language
f6726a5ca8a56b03ddb41e80e008d079f32173db89de862b24ffda48778d82ee	Jack Ruby's brother, Earl, responded to the allegations as "outlandish", "ridiculous", and "absolutely false".	en	different-language
f6556d59c57b2f374eb1171cf5532846294fa9f464dfd34aa9efec7539877552	Partial edits from larger works and episodes from serialized films are not eligible.	en	dvdg
f670090d727060167f97a0176059e363e03fcaa73760ccc48d875c62affc6a59	Thereafter she avoid watching documentaries about Beslan.	en	offensive-language
f670090d727060167f97a0176059e363e03fcaa73760ccc48d875c62affc6a59	Thereafter she avoid watching documentaries about Beslan.	en	grammar-or-spelling
