clip	duration[ms]
common_voice_en_41991297.mp3	5436
common_voice_en_41945081.mp3	6948
common_voice_en_42484222.mp3	7776
common_voice_en_42511680.mp3	5616
common_voice_en_41939212.mp3	4428
common_voice_en_42135383.mp3	3996
common_voice_en_42454871.mp3	7056
common_voice_en_42599385.mp3	7236
common_voice_en_42142976.mp3	4644
common_voice_en_42177049.mp3	8532
common_voice_en_42485768.mp3	5148
common_voice_en_42550958.mp3	5940
common_voice_en_41920882.mp3	5940
common_voice_en_42348194.mp3	4752
common_voice_en_41980311.mp3	4428
common_voice_en_42617572.mp3	4644
common_voice_en_42420775.mp3	7488
common_voice_en_42238653.mp3	6840
common_voice_en_41937835.mp3	6264
common_voice_en_42009493.mp3	3384
common_voice_en_42600574.mp3	6264
common_voice_en_41923374.mp3	3636
common_voice_en_42312635.mp3	5436
common_voice_en_42469370.mp3	4284
common_voice_en_42138651.mp3	4824
common_voice_en_42356471.mp3	3816
common_voice_en_42387601.mp3	5328
common_voice_en_42359077.mp3	7488
common_voice_en_42642627.mp3	6408
common_voice_en_41944783.mp3	5688
common_voice_en_42667898.mp3	2340
common_voice_en_42496915.mp3	5328
common_voice_en_41976691.mp3	6048
common_voice_en_42457459.mp3	4896
common_voice_en_41917287.mp3	5508
common_voice_en_42516269.mp3	5796
common_voice_en_41945123.mp3	4608
common_voice_en_42488068.mp3	6516
common_voice_en_42453555.mp3	8100
common_voice_en_42358718.mp3	4860
common_voice_en_42507140.mp3	7416
common_voice_en_42143252.mp3	6264
common_voice_en_42039004.mp3	5436
common_voice_en_42520475.mp3	13320
common_voice_en_42514717.mp3	5292
common_voice_en_41945368.mp3	5328
common_voice_en_42489517.mp3	7668
common_voice_en_41929451.mp3	6300
common_voice_en_41946359.mp3	7524
common_voice_en_42407588.mp3	9000
common_voice_en_42631404.mp3	5400
common_voice_en_42511732.mp3	4896
common_voice_en_42113092.mp3	5040
common_voice_en_42359053.mp3	4248
common_voice_en_41982519.mp3	5868
common_voice_en_41929217.mp3	3888
common_voice_en_41980542.mp3	4788
common_voice_en_42411706.mp3	3780
common_voice_en_42484019.mp3	6552
common_voice_en_42056814.mp3	5796
common_voice_en_41962721.mp3	3312
common_voice_en_42608261.mp3	4500
common_voice_en_42528481.mp3	5076
common_voice_en_42606215.mp3	11736
common_voice_en_41944773.mp3	6120
common_voice_en_42659666.mp3	7308
common_voice_en_41975634.mp3	5256
common_voice_en_42681140.mp3	5940
common_voice_en_42148485.mp3	4248
common_voice_en_42693269.mp3	5112
common_voice_en_42462715.mp3	3456
common_voice_en_42359033.mp3	6876
common_voice_en_42588940.mp3	6588
common_voice_en_42494380.mp3	4788
common_voice_en_42556950.mp3	11808
common_voice_en_42657207.mp3	5976
common_voice_en_42284425.mp3	5976
common_voice_en_42429158.mp3	6012
common_voice_en_42513236.mp3	6300
common_voice_en_42211813.mp3	5472
common_voice_en_42511735.mp3	6660
common_voice_en_42520392.mp3	8100
common_voice_en_42223123.mp3	2196
common_voice_en_42595764.mp3	7056
common_voice_en_42359017.mp3	7416
common_voice_en_42600402.mp3	6804
common_voice_en_42423056.mp3	5256
common_voice_en_41915019.mp3	9396
common_voice_en_42401090.mp3	5076
common_voice_en_42537249.mp3	8532
common_voice_en_42511024.mp3	6660
common_voice_en_41962651.mp3	7128
common_voice_en_42218800.mp3	5904
common_voice_en_42301261.mp3	5976
common_voice_en_41982563.mp3	4392
common_voice_en_42126518.mp3	6588
common_voice_en_41917304.mp3	8496
common_voice_en_41948187.mp3	7236
common_voice_en_42510696.mp3	5616
common_voice_en_42238560.mp3	3276
common_voice_en_41928517.mp3	7236
common_voice_en_42366844.mp3	5580
common_voice_en_42513170.mp3	6156
common_voice_en_42329982.mp3	7020
common_voice_en_42452319.mp3	5076
common_voice_en_41970684.mp3	6228
common_voice_en_42411708.mp3	5976
common_voice_en_41989881.mp3	9180
common_voice_en_42527992.mp3	5796
common_voice_en_42511438.mp3	5400
common_voice_en_42226708.mp3	4788
common_voice_en_42455358.mp3	4536
common_voice_en_42354486.mp3	5868
common_voice_en_41977541.mp3	8064
common_voice_en_41980421.mp3	4788
common_voice_en_42575182.mp3	7596
common_voice_en_42586451.mp3	5976
common_voice_en_42500615.mp3	4968
common_voice_en_42399880.mp3	4536
common_voice_en_42510005.mp3	4788
common_voice_en_42304605.mp3	9648
common_voice_en_42420699.mp3	4500
common_voice_en_42380241.mp3	11340
common_voice_en_42471156.mp3	5688
common_voice_en_41923243.mp3	13608
common_voice_en_41977282.mp3	3816
common_voice_en_42449923.mp3	8028
common_voice_en_41992211.mp3	3528
common_voice_en_42469335.mp3	7920
common_voice_en_42142808.mp3	8136
common_voice_en_42454939.mp3	6156
common_voice_en_42595770.mp3	10800
common_voice_en_42513184.mp3	7200
common_voice_en_42450637.mp3	9108
common_voice_en_42119558.mp3	8136
common_voice_en_42622768.mp3	7056
common_voice_en_42172063.mp3	8928
common_voice_en_42168428.mp3	3060
common_voice_en_42484066.mp3	6084
common_voice_en_42485823.mp3	4788
common_voice_en_42589386.mp3	7092
common_voice_en_42464760.mp3	11340
